iid,n,spread,b5,a5,b10,a10,b20,a20,snap,sym,cat,vol24,newcomer_raw,inc1,inc2,inc3,usd_day_inc1,usd_day_inc2,usd_day_inc3
1,5575,0.2586987453120264,2186823.5552339996,2429227.434173,2872618.5650360007,3215658.2232470005,2922766.1121920003,3466280.517423,129807.69230769231,SP500-USD,index,1962892.5790770003,1034.5501057293047,2106.9065776270254,2685.3801692833813,3094.8365564028677,368.6437832163149,311.31725353607743,280.4480595587266
2,5575,0.2254511841831651,2249074.4913230003,1954585.4747819998,2607337.4826040007,2541642.987846999,2609332.82992,2541699.97288,125100.56260645874,GOLD-USD,commodity,779903.499917,1034.5501057293047,2056.9253039750447,2621.676005783297,3021.4190283186645,374.60381309434587,316.74148185642457,285.5244796714861
3,3436,5.560370909447935,927218.802718,876544.791633,1395969.111159,1381497.229329,1547481.642307,1533970.1710259998,132479.60226660923,WTIOIL-USD,commodity,493724.9665910001,1034.5501057293047,2134.9949894752785,2721.1805531090927,3136.0956443578634,365.3768732663842,308.3497145455139,277.6736615758963
4,5575,1.0128804632239985,2272487.4510099995,2911950.71964,2928483.6483400003,3648458.32404,3796227.4265199997,4451523.8685,135000.0,NAS100-USD,index,614742.3522699998,1034.5501057293047,2161.3094358965322,2754.7199104473248,3174.7489532472036,362.36838993665623,305.6204682217803,275.1238294872404
5,5575,1.3596911990210738,1922806.616782,1968532.076947,2289768.216601,2285231.5645729997,2289768.216601,2285231.5645729997,125000.0,SILVER-USD,commodity,264128.871828,1034.5501057293047,2055.8503985672232,2620.3059736723953,3019.8400990077366,374.734108071947,316.8602132076927,285.6356734508649
6,5575,0.12543667642982131,909896.2785200002,887635.76343,970101.43675,936509.7118999999,970101.43675,936509.7118999999,111111.11111111111,BTC-USD,crypto,1588982.3538799954,1034.5501057293047,1904.330700312256,2427.1849320133188,2797.2727074802247,394.0542515987555,334.5370064249142,302.226520644531
7,5575,0.4033315183411339,720138.17204,940571.06222,1339578.79072,1353343.0431800003,1614158.07671,1818056.82654,134031.548075753,ETH-USD,crypto,919313.8993999984,1034.5501057293047,2151.218737143329,2741.858703114352,3159.9267187387168,363.51616632624416,306.66131109816484,276.0960484528441
8,5574,0.9693209906465483,389813.71634000004,411413.23962,737987.80081,698045.51127,830224.6590000001,848783.3610999999,134533.0335257469,SOL-USD,crypto,970444.4258999996,1034.5501057293047,2156.4470943740253,2748.5225613861576,3167.6066563587865,362.9205555320305,306.1211291628909,275.5914503263782
9,3436,3.334556003868843,1082126.265972,1585307.249134,2025480.642846,2217614.0379089997,2158838.987503,2377658.874756999,135000.0,SPCX-USD,equity,320119.5790989999,1034.5501057293047,2161.3094358965322,2754.7199104473248,3174.7489532472036,362.36838993665623,305.6204682217803,275.1238294872404
10,5574,1.1722917130704802,339951.6442299999,323147.67715199996,591554.3893660001,580088.6794609999,668160.992226,671498.79237,129649.437713553,HYPE-USD,crypto,1122794.3027619992,1034.5501057293047,2105.2366131584477,2683.25169832271,3092.383544418317,368.8398545022497,311.4954851279243,280.61475534534696
