sym,cat,pm_maxlev,pm_oi_usd,pm_spread_bps,pm_top_usd,hl_coin,hl_maxlev,hl_oi_usd,hl_dayvol,pm_fund_ann,pm_fund_days
SP500-USD,index,20,8264460.095472001,0.388140998687025,5500.6776500000005,xyz:SP500,50,332865040.6704,24038260.227599993,0.6988131958762894,40.416666666666664
GOLD-USD,commodity,20,3254528.805516,0.22548676956256536,3370.149982,xyz:GOLD,25,307755486.08167994,5465410.87704,12.544877618069817,40.583333333333336
WTIOIL-USD,commodity,20,708651.171135,5.779306810313039,24942.249934,xyz:CL,20,198649531.79507998,44168472.07189002,-2.4750802860061287,40.791666666666664
NAS100-USD,index,20,6816207.43764,1.688077111362447,20505.58608,xyz:XYZ100,30,216099410.5772,27864545.3828,5.968378590398367,40.791666666666664
SILVER-USD,commodity,20,2730352.014643,0.604275247375918,1338.8646625,xyz:SILVER,25,116223233.22368002,5060772.902190002,12.190376629213482,40.791666666666664
BTC-USD,crypto,20,10131166.11936,0.1254177980397198,2975.5702,BTC,40,2828626335.62076,885576301.2648793,7.306743092783506,44.458333333333336
ETH-USD,crypto,20,9372803.9211,0.4033152513658636,2020.992745,ETH,25,2252361837.08256,340833307.1810298,4.19650709073901,44.541666666666664
SOL-USD,crypto,20,573686.6763599999,0.9697910100378331,2133.6585299999997,SOL,20,595075861.902,83540608.3856,2.657287654784241,44.416666666666664
SPCX-USD,equity,10,542186.4597809999,3.334556003868843,79652.11441499999,xyz:SPCX,20,212808792.9892,10079609.251799997,3.2629922147651014,37.25
HYPE-USD,crypto,20,241247.46821999998,1.994076420045853,5318.021358,HYPE,10,2015395183.1732407,172605755.81638998,10.83835310215558,44.458333333333336
MU-USD,equity,10,389821.21332,4.919081115647597,119044.66896,xyz:MU,10,120935799.30240001,11314003.828899996,8.591873802816902,44.375
SKHY-USD,equity,10,335213.25552,4.544421722336542,119646.507832,xyz:SKHY,10,132104540.54179999,8106330.539699999,12.339301518275539,44.458333333333336
SKHYNIX-USD,equity,10,165427.13643038174,4.692632566871081,92075.19517499999,xyz:SKHX,10,300888625.114,34356531.369600005,25.579709015932522,44.458333333333336
AAPL-USD,equity,10,279272.217904,4.353098473305754,10498.47362,xyz:AAPL,20,83219865.5484,1671732.97538,7.222294628571429,43.75
MSFT-USD,equity,10,400002.075004,4.578435568472857,19995.662609999996,xyz:MSFT,20,24045968.9008,1288008.8220800003,4.899860114285715,43.75
GOOG-USD,equity,10,910906.728192,3.531281266553015,49721.740278,xyz:GOOGL,20,93905066.82792,1730447.7692599997,5.575080914285715,43.75
AMZN-USD,equity,10,278052.59619,3.0782254030545264,10003.348605,xyz:AMZN,20,25568712.885659996,1563510.2304499997,5.76655782857143,43.75
NVDA-USD,equity,10,770139.90324,3.027747139859996,99993.7760235,xyz:NVDA,20,122968071.68376006,8401233.194469996,6.445491200000002,43.75
META-USD,equity,10,349926.81311999995,5.034960491802908,9990.949375000002,xyz:META,20,39318941.10156,6537619.114619998,5.743798514285716,43.75
TSLA-USD,equity,10,471778.143249,3.922227825404448,12691.596768500001,xyz:TSLA,20,50067475.8425,5788580.541400003,5.837255200000001,43.75
AMD-USD,equity,10,427583.397384,4.828129099974142,50328.3252,xyz:AMD,10,14125563.0316,747610.2824700003,5.141451155885473,39.291666666666664
INTC-USD,equity,10,318966.478999,3.113486586062076,91995.235209,xyz:INTC,10,57940502.08144,4692010.532479998,9.783630127118643,39.333333333333336
AVGO-USD,equity,10,453061.62744999997,3.052037234854643,46442.791861000005,xyz:AVGO,10,9400088.1504,406096.4967000002,-0.6235501910828025,39.25
QCOM-USD,equity,10,154402.873184,3.5467281432879516,4499.199268,xyz:QCOM,10,5562291.490199999,84041.8268,7.549571373801917,39.125
ARM-USD,equity,10,266657.962728,4.357902660300902,4076.9665199999995,xyz:ARM,10,4606943.4286,240275.1421,7.24386696485623,39.125
TSM-USD,equity,10,281137.836504,2.800532101099315,15011.346875000001,xyz:TSM,10,9042919.97472,344550.20089,5.9561562939297135,39.125
ASML-USD,equity,10,127604.155382,4.069649138106715,46338.042663,xyz:ASML,10,2513903.3028,121670.7787,8.080644331210193,39.25
SNDK-USD,equity,10,235780.68528,2.268345242145081,18614.79528,xyz:SNDK,10,122969630.3796,35589240.5632,6.755121187698833,39.291666666666664
DRAM-USD,index,10,155291.71416,4.676487289975397,9996.787,xyz:DRAM,20,73026020.818,10053433.071300002,10.719645477707008,39.25
PUMP-USD,crypto,10,168734.35222200002,7.695267410542424,25354.2189885,PUMP,10,168031926.42422998,60522241.739844,6.507128291457289,33.166666666666664
ZEC-USD,crypto,10,318548.95317000005,8.786917256530057,14973.6599,ZEC,10,609068289.0239999,147028863.74500003,-0.7492221105527624,33.166666666666664
XRP-USD,crypto,20,93380.0762,4.953122235980349,3390.96,XRP,20,234553576.0032,25225152.601699997,10.905324000000002,4.166666666666667
LIT-USD,crypto,10,105453.858204,6.525560198294447,3604.7753559999996,LIT,5,209199631.58738,50760911.58920001,-0.6824915999999994,4.166666666666667
KPEPE-USD,crypto,10,172235.394552,8.316008316008219,6008.73605275,kPEPE,10,22925181.920500003,8379067.8471949985,7.9129080000000025,4.166666666666667
HOOD-USD,equity,10,148814.90954,5.5628402272823445,9211.921820000001,xyz:HOOD,10,64113788.35268,11082554.398179995,4.8255336,4.166666666666667
MSTR-USD,equity,10,244646.92945000003,4.863982211721724,76063.52937999999,xyz:MSTR,10,44073844.0344,2661661.8073200006,6.040457999999999,4.166666666666667
STRC-USD,equity,10,51391.849845000004,6.1551087402546445,175978.45760249998,xyz:STRC,10,8060456.4716,57822.8515,21.64893840000001,4.166666666666667
CRCL-USD,equity,10,203462.77566,4.9152125829439335,68355.377735,xyz:CRCL,10,57910591.33548,3239057.3789899996,5.765043599999999,4.166666666666667
COIN-USD,equity,10,191398.69282000003,3.7728730428217414,10061.528381,xyz:COIN,10,13160385.229859998,1620295.4991500003,4.0208400000000015,4.166666666666667
RKLB-USD,equity,10,245981.39664000002,5.393867942703376,25314.619622500006,xyz:RKLB,10,10914272.92216,744883.38849,9.541391999999998,4.166666666666667
LITE-USD,equity,10,44315.209652,5.357071619488653,9999.69336,xyz:LITE,10,10202293.1364,246432.02112,5.5956252,4.166666666666667
NBIS-USD,equity,10,105684.73830000001,5.3423559789869355,20284.996172,xyz:NBIS,10,59745942.821600005,2055176.8926,5.82759,4.166666666666667
ORCL-USD,equity,10,92700.658115,4.373496610539701,100012.500876,xyz:ORCL,10,14000252.94816,774571.2252100003,5.200374000000001,4.166666666666667
PLTR-USD,equity,10,82843.06544699999,4.54519629566573,28334.423831999997,xyz:PLTR,10,11809207.02196,423611.07299,5.4931332,4.166666666666667
BRENTOIL-USD,commodity,20,269216.516128,4.769656688405822,12457.213284,xyz:BRENTOIL,20,235754219.4572396,29799116.86916,5.3524476000000005,4.166666666666667
BABA-USD,equity,10,20159.624688,4.396570674873349,191001.1943625,xyz:BABA,10,11639399.881599998,96723.49292,6.867577199999999,4.166666666666667
ZM-USD,equity,10,48898.613775000005,13.974845278498758,11.091521,xyz:ZM,10,531665.91982,96575.62223,1.0229928000000008,4.166666666666667
DELL-USD,equity,10,1905.1541100000002,33.74621313801417,3000.101325,xyz:DELL,10,7483708.032000001,648994.6324999998,5.3482427999999995,4.166666666666667
CXMT-USD,equity,10,6118.259914,23.866348448688964,440.62039999999996,xyz:CXMT,10,55117302.0687,697829.0892900006,14.062165200000003,4.166666666666667
KIOXIA-USD,equity,10,21548.111171999997,4.90156033003858,42.193578,xyz:KIOXIA,10,8924647.159559999,233583.64407,7.4407440000000005,4.166666666666667
SAMSUNG-USD,equity,10,27739.520495999997,5.026388539833843,58747.045990499995,xyz:SMSN,10,41682477.432959996,3383758.2124099974,14.698579200000003,4.166666666666667
CRWV-USD,equity,10,33765.959448,5.596597268860214,7496.629196,xyz:CRWV,10,6173015.199440001,559765.4931099999,5.817866399999999,4.166666666666667
AAVE-USD,crypto,10,17154.5178,5.208139578140187,4515.5463805,AAVE,10,82165395.48840003,5017263.7193,10.4561988,4.166666666666667
UNI-USD,crypto,10,29066.585892000003,6.9464626202342314,399.60745550000007,UNI,10,56170265.04144,40027061.598650016,2.3958600000000003,4.166666666666667
WLD-USD,crypto,10,28308.237338999996,25.689459765773098,10005.39036,WLD,10,35809319.88057601,4233847.754819,8.501667600000003,4.166666666666667
NEAR-USD,crypto,10,87483.870815,7.740819160804292,1511.15839,NEAR,10,127190082.00419998,48110084.62970996,-16.586534399999998,4.166666666666667
KSHIB-USD,crypto,10,99500.21751999999,7.323324789455384,28085.572597500002,kSHIB,10,3404227.22704,699246.358559,-11.964933599999998,4.166666666666667
FARTCOIN-USD,crypto,10,21210.085880000002,7.5848186936603295,499.9199245000001,FARTCOIN,10,34372937.879884,12930053.694162996,5.299712400000001,4.166666666666667
DOGE-USD,crypto,10,108925.258992,5.341493949253416,1477.57305,DOGE,10,76385847.69348,24409436.990205005,-6.4908972,4.166666666666667
ENA-USD,crypto,10,12937.86006,7.014262333410172,406.2289665,ENA,10,66672389.56904,12388296.0005,3.1044564000000014,4.166666666666667
ONDO-USD,crypto,10,45676.289232,6.200212963836798,1153.6700500000002,ONDO,10,26264309.48064,3812941.0012299996,1.3439592000000016,4.166666666666667
SUI-USD,crypto,10,75164.923763,5.26635862669091,1487.7828614999999,SUI,10,34817927.525712006,10705232.127865998,6.000950400000002,4.166666666666667
VVV-USD,crypto,3,8151.1762739999995,5.2009592880466595,5584.278744,VVV,3,25716957.190847997,4165020.7206900003,8.9260896,4.166666666666667
TAO-USD,crypto,5,31210.667523000004,7.196833393307619,3035.5411275,TAO,5,46362260.4711,21875207.095220014,8.806515600000003,4.166666666666667
ADA-USD,crypto,10,106208.49567999999,7.321984257733548,10983.68902,ADA,10,31815075.37464,4546054.58075,10.7589444,4.166666666666667
ZRO-USD,crypto,5,68952.11568,7.595177062566542,3488.898875,ZRO,5,39727147.548800014,5447526.10668,7.904936400000001,4.166666666666667
BNB-USD,crypto,10,73720.85643,5.0823271845860365,40000.464929999995,BNB,10,62193326.21507999,46719366.82023999,6.256479600000003,4.166666666666667
