id,symbol,cat,maxlev,liqfee,min_notional,pdec,qdec,bounds,iso_only,live,mark,index,basis_bps,OI_base,OI_usd,fund_1h,fund_ann_pct,vol24_usd,trades24
31,PUMP-USD,crypto,10,0.005,10,6,0,0.10,False,08-01,0.003954,0.003957,-7.581501137223778,42674343.0,168734.35222200002,1.25e-05,10.950000000000001,2016160.4930589455,1505
1,SP500-USD,index,20,0.005,10,1,5,0.05,False,08-01,7730.2,7730.2,0.0,1069.11336,8264460.095472001,6.25e-06,5.4750000000000005,1962892.5790770003,524
32,ZEC-USD,crypto,10,0.005,10,2,4,0.10,False,08-01,1019.1,1019.9,-7.843906265320166,312.5787,318548.95317000005,1.02e-05,8.9352,1748352.0453559987,801
48,ZM-USD,equity,10,0.005,10,2,4,0.10,False,08-17,100.43,100.57,-13.920652281991241,486.8925,48898.613775000005,-1.338e-05,-11.720880000000001,1623389.1351880005,142
57,NEAR-USD,crypto,10,0.005,10,4,2,0.10,False,08-26,2.1835,2.1862,-12.350196688317716,40065.89,87483.870815,-4.184e-05,-36.65184,1622855.278223001,1318
63,SUI-USD,crypto,10,0.005,10,5,1,0.10,False,08-26,0.79889,0.79897,-1.0012891597932505,94086.7,75164.923763,1.25e-05,10.950000000000001,1607576.2073690004,2580
56,WLD-USD,crypto,10,0.005,10,5,1,0.10,False,08-26,0.39657,0.39678,-5.292605474067624,71382.7,28308.237338999996,1.25e-05,10.950000000000001,1595124.346035003,1976
6,BTC-USD,crypto,20,0.005,10,1,5,0.05,False,08-01,79728.0,79746.0,-2.2571665036486,127.07162,10131166.11936,1.25e-05,10.950000000000001,1588982.3538799954,2070
34,LIT-USD,crypto,10,0.005,10,4,2,0.10,False,08-01,4.7358,4.7424,-13.917004048582537,22267.38,105453.858204,-9.655e-05,-84.5778,1577630.2999639967,2039
58,KSHIB-USD,crypto,10,0.005,10,6,0,0.10,False,08-26,0.00548,0.005485,-9.115770282590585,18156974.0,99500.21751999999,3.49e-06,3.05724,1517572.7130879993,1272
62,ONDO-USD,crypto,10,0.005,10,5,1,0.10,False,08-26,0.37044,0.37052,-2.1591277124044517,123302.8,45676.289232,1.25e-05,10.950000000000001,1486231.7966480064,595
